Campaign_ID,Measurement_ID,Campaign_Title,TX_ID,RX_ID,TX_Latitude,TX_Longitude,RX_Latitude,RX_Longitude,TX_RX_Separation_Distance,Measurement_Number,Track,Step,Rotation_Number,AOD_Azimuth,AOD_Elevation,AOA_Azimuth,AOA_Elevation,TX_Height,RX_Height,Carrier_Frequency,TX_Antenna_Gain,TX_Antenna_Azimuth_HPBW,TX_Antenna_Elevation_HPBW,TX_Antenna_Polarization,RX_Antenna_Gain,RX_Antenna_Azimuth_HPBW,RX_Antenna_Elevation_HPBW,RX_Antenna_Polarization,Environment,Environment_Setting,TR_Separation,Pr,Total_PL,PL_wrt_Free_Space_Reference_Distance,Free_Space_Reference_Distance,PLE_wrt_Free_Space_Reference_Distance,TX_Power,PN_Chip_Rate,Noise_Threshold_Before_Processing,Number_of_Multipath_Component,Multipath_Time_Resolution,RMS_Delay_Spread,Maximum_Peak_Delay,Maximum_Excess_Delay_10dB_Down_from_Max_Peak,Maximum_Excess_Delay_20dB_Down_from_Max_Peak,Measurement_Date,Calibration_Folder,Raw_PDP_Filename
12,1,7_GHz_and_17_GHz_Outdoor_Spring_2024,1,1,Not Available,Not Available,Not Available,Not Available,40.08,1,1,1,0,90.0,-4.0,270.0,0.0,4.0,1.5,6.75,15.0,30.0,30.0,V,15.0,30.0,30.0,V,Outdoor,LOS,40.08,-33.37290726555145,79.23290726555145,30.19904858704757,1,1.88399316730139,15.86,500000000.0,-61.24139646382642,3,2,1.3481837110858126,2.4,4.1,7.8,05.16.2024,1,ID12__7_GHz_and_17_GHz_Outdoor_Spring_2024/ID12_1__6.75_GHz_Outdoor/RawData/Locations/05.16.2024/6.75_GHz/L1/RX_1/RX_Sweep/Measurement_1/Rot_0/IQsquared_L1_RX1_Meas1.txt
12,1,7_GHz_and_17_GHz_Outdoor_Spring_2024,1,1,Not Available,Not Available,Not Available,Not Available,40.08,1,1,1,1,90.0,-4.0,300.0,0.0,4.0,1.5,6.75,15.0,30.0,30.0,V,15.0,30.0,30.0,V,Outdoor,LOS,40.08,-42.65236546406149,88.51236546406149,39.47850678555761,1,2.4629000090801747,15.86,500000000.0,-61.40307419798066,2,2,3.0634886631228064,2.05,3.85,14.6,05.16.2024,1,ID12__7_GHz_and_17_GHz_Outdoor_Spring_2024/ID12_1__6.75_GHz_Outdoor/RawData/Locations/05.16.2024/6.75_GHz/L1/RX_1/RX_Sweep/Measurement_1/Rot_1/IQsquared_L1_RX1_Meas1.txt
12,1,7_GHz_and_17_GHz_Outdoor_Spring_2024,1,1,Not Available,Not Available,Not Available,Not Available,40.08,1,1,1,2,90.0,-4.0,330.0,0.0,4.0,1.5,6.75,15.0,30.0,30.0,V,15.0,30.0,30.0,V,Outdoor,LOS,40.08,-56.46973180903683,102.32973180903684,53.29587313053296,1,3.3249080855597373,15.86,500000000.0,-60.99250627241847,2,2,6.904687886565211,0.8,16.0,16.0,05.16.2024,1,ID12__7_GHz_and_17_GHz_Outdoor_Spring_2024/ID12_1__6.75_GHz_Outdoor/RawData/Locations/05.16.2024/6.75_GHz/L1/RX_1/RX_Sweep/Measurement_1/Rot_2/IQsquared_L1_RX1_Meas1.txt
12,1,7_GHz_and_17_GHz_Outdoor_Spring_2024,1,1,Not Available,Not Available,Not Available,Not Available,40.08,1,1,1,3,90.0,-4.0,0.0,0.0,4.0,1.5,6.75,15.0,30.0,30.0,V,15.0,30.0,30.0,V,Outdoor,LOS,40.08,-129.29987647107197,175.15987647107198,126.1260177925681,1,7.868478209013769,15.86,500000000.0,-116.28957651443216,0,2,0.0,0.0,0.0,0.0,05.16.2024,1,ID12__7_GHz_and_17_GHz_Outdoor_Spring_2024/ID12_1__6.75_GHz_Outdoor/RawData/Locations/05.16.2024/6.75_GHz/L1/RX_1/RX_Sweep/Measurement_1/Rot_3/IQsquared_L1_RX1_Meas1.txt
12,1,7_GHz_and_17_GHz_Outdoor_Spring_2024,1,1,Not Available,Not Available,Not Available,Not Available,40.08,1,1,1,4,90.0,-4.0,30.0,0.0,4.0,1.5,6.75,15.0,30.0,30.0,V,15.0,30.0,30.0,V,Outdoor,LOS,40.08,-129.0893583903922,174.9493583903922,125.91549971188832,1,7.855344860641853,15.86,500000000.0,-116.07905843375238,0,2,0.0,0.0,0.0,0.0,05.16.2024,1,ID12__7_GHz_and_17_GHz_Outdoor_Spring_2024/ID12_1__6.75_GHz_Outdoor/RawData/Locations/05.16.2024/6.75_GHz/L1/RX_1/RX_Sweep/Measurement_1/Rot_4/IQsquared_L1_RX1_Meas1.txt
12,1,7_GHz_and_17_GHz_Outdoor_Spring_2024,1,1,Not Available,Not Available,Not Available,Not Available,40.08,1,1,1,5,90.0,-4.0,60.0,0.0,4.0,1.5,6.75,15.0,30.0,30.0,V,15.0,30.0,30.0,V,Outdoor,LOS,40.08,-129.5090914653175,175.36909146531752,126.33523278681363,1,7.881530263237247,15.86,500000000.0,-116.4987915086777,0,2,0.0,0.0,0.0,0.0,05.16.2024,1,ID12__7_GHz_and_17_GHz_Outdoor_Spring_2024/ID12_1__6.75_GHz_Outdoor/RawData/Locations/05.16.2024/6.75_GHz/L1/RX_1/RX_Sweep/Measurement_1/Rot_5/IQsquared_L1_RX1_Meas1.txt
12,1,7_GHz_and_17_GHz_Outdoor_Spring_2024,1,1,Not Available,Not Available,Not Available,Not Available,40.08,1,1,1,6,90.0,-4.0,90.0,0.0,4.0,1.5,6.75,15.0,30.0,30.0,V,15.0,30.0,30.0,V,Outdoor,LOS,40.08,-129.22103910390263,175.08103910390264,126.04718042539876,1,7.863559873237496,15.86,500000000.0,-116.21073914726284,0,2,0.0,0.0,0.0,0.0,05.16.2024,1,ID12__7_GHz_and_17_GHz_Outdoor_Spring_2024/ID12_1__6.75_GHz_Outdoor/RawData/Locations/05.16.2024/6.75_GHz/L1/RX_1/RX_Sweep/Measurement_1/Rot_6/IQsquared_L1_RX1_Meas1.txt
12,1,7_GHz_and_17_GHz_Outdoor_Spring_2024,1,1,Not Available,Not Available,Not Available,Not Available,40.08,1,1,1,7,90.0,-4.0,120.0,0.0,4.0,1.5,6.75,15.0,30.0,30.0,V,15.0,30.0,30.0,V,Outdoor,LOS,40.08,-129.31256918263668,175.17256918263666,126.1387105041328,1,7.869270054551334,15.86,500000000.0,-116.30226922599688,0,2,0.0,0.0,0.0,0.0,05.16.2024,1,ID12__7_GHz_and_17_GHz_Outdoor_Spring_2024/ID12_1__6.75_GHz_Outdoor/RawData/Locations/05.16.2024/6.75_GHz/L1/RX_1/RX_Sweep/Measurement_1/Rot_7/IQsquared_L1_RX1_Meas1.txt
12,1,7_GHz_and_17_GHz_Outdoor_Spring_2024,1,1,Not Available,Not Available,Not Available,Not Available,40.08,1,1,1,8,90.0,-4.0,150.0,0.0,4.0,1.5,6.75,15.0,30.0,30.0,V,15.0,30.0,30.0,V,Outdoor,LOS,40.08,-129.00826952691438,174.8682695269144,125.83441084841051,1,7.850286063365639,15.86,500000000.0,-115.99796957027456,0,2,0.0,0.0,0.0,0.0,05.16.2024,1,ID12__7_GHz_and_17_GHz_Outdoor_Spring_2024/ID12_1__6.75_GHz_Outdoor/RawData/Locations/05.16.2024/6.75_GHz/L1/RX_1/RX_Sweep/Measurement_1/Rot_8/IQsquared_L1_RX1_Meas1.txt
12,1,7_GHz_and_17_GHz_Outdoor_Spring_2024,1,1,Not Available,Not Available,Not Available,Not Available,40.08,1,1,1,9,90.0,-4.0,180.0,0.0,4.0,1.5,6.75,15.0,30.0,30.0,V,15.0,30.0,30.0,V,Outdoor,LOS,40.08,-128.3828048745757,174.2428048745757,125.20894619607184,1,7.811265922449675,15.86,500000000.0,-115.37250491793588,0,2,0.0,0.0,0.0,0.0,05.16.2024,1,ID12__7_GHz_and_17_GHz_Outdoor_Spring_2024/ID12_1__6.75_GHz_Outdoor/RawData/Locations/05.16.2024/6.75_GHz/L1/RX_1/RX_Sweep/Measurement_1/Rot_9/IQsquared_L1_RX1_Meas1.txt
